age,weight(kg),height(m),gender,goal,diet_plan
10,37,1.21,M,maintain weight,Maintain Weight
11,40,1.26,M,gain weight,High Protein
10,32,1.27,M,maintain weight,High Protein
11,30,1.24,M,maintain weight,High Protein
27,63,1.8,F,lose weight,High Protein
10,30,1.26,M,gain weight,High Protein
32,39,1.31,M,lose weight,Low Calorie
31,32,1.33,M,gain weight,High Protein
38,41,1.27,M,maintain weight,Maintain Weight
29,59,1.67,F,lose weight,Lose Weight
10,35,1.26,M,gain weight,High Protein
10,31,1.2,M,gain weight,High Protein
17,33,1.22,M,gain weight,High Protein
31,38,1.69,M,gain weight,High Protein
16,30,1.25,M,lose weight,High Protein
15,35,1.25,M,gain weight,Lose Weight
10,30,1.25,M,gain weight,High Protein
29,30,1.27,M,gain weight,Low Calorie
21,35,1.2,M,lose weight,Low Calorie
10,33,1.72,F,lose weight,Low Calorie
10,31,1.33,F,lose weight,Lose Weight
10,31,1.28,M,gain weight,High Protein
44,70,1.2,M,lose weight,Low Calorie
34,34,1.33,M,gain weight,High Protein
29,70,1.83,F,lose weight,Low Calorie
42,69,1.68,M,lose weight,Low Calorie
10,33,1.2,M,maintain weight,Maintain Weight
13,33,1.31,M,gain weight,High Protein
37,41,1.62,M,lose weight,Low Calorie
10,30,1.2,F,maintain weight,Maintain Weight
11,30,1.23,F,lose weight,Low Calorie
10,31,1.2,M,maintain weight,Maintain Weight
10,37,1.35,F,lose weight,Low Calorie
29,35,1.76,F,lose weight,Low Calorie
15,36,1.25,M,gain weight,High Protein
10,30,1.23,F,lose weight,Lose Weight
35,36,1.25,M,lose weight,Low Calorie
37,40,1.3,M,gain weight,High Protein
15,33,1.22,M,maintain weight,High Protein
12,41,1.3,M,maintain weight,Low Calorie
36,33,1.23,M,gain weight,Low Calorie
33,70,1.67,M,gain weight,Low Calorie
27,30,1.31,F,lose weight,Lose Weight
12,30,1.26,M,lose weight,Low Calorie
34,30,1.29,M,gain weight,High Protein
36,87,1.34,M,lose weight,Low Calorie
32,30,1.2,M,maintain weight,High Protein
16,30,1.29,F,lose weight,Low Calorie
10,31,1.26,F,lose weight,Low Calorie
36,41,1.79,M,gain weight,High Protein
10,30,1.2,M,maintain weight,Low Calorie
15,30,1.26,M,maintain weight,High Protein
35,70,1.68,M,lose weight,Low Calorie
32,78,1.73,M,maintain weight,High Protein
43,67,1.77,M,maintain weight,High Protein
31,65,1.28,F,lose weight,Low Calorie
26,73,1.78,F,lose weight,Low Calorie
26,32,1.26,F,lose weight,Lose Weight
10,30,1.22,F,lose weight,Lose Weight
10,31,1.29,F,lose weight,Lose Weight
42,67,1.7,M,maintain weight,Low Calorie
32,68,1.88,F,lose weight,Low Calorie
26,33,1.83,M,gain weight,High Protein
33,52,1.56,F,lose weight,Low Calorie
10,33,1.2,M,gain weight,High Protein
10,36,1.25,M,maintain weight,Low Calorie
40,39,1.27,F,lose weight,Low Calorie
14,34,1.29,M,maintain weight,Maintain Weight
31,46,1.55,M,maintain weight,Maintain Weight
14,38,1.2,M,maintain weight,Maintain Weight
28,74,1.8,F,lose weight,Lose Weight
34,33,1.25,M,lose weight,Low Calorie
10,33,1.7,F,lose weight,High Protein
31,30,1.82,F,lose weight,Low Calorie
25,58,1.76,F,lose weight,Lose Weight
10,30,1.2,F,lose weight,Lose Weight
11,30,1.2,M,maintain weight,Maintain Weight
27,34,1.2,M,maintain weight,Maintain Weight
42,85,1.74,M,lose weight,Low Calorie
26,65,1.89,F,lose weight,Low Calorie
10,30,1.25,M,maintain weight,High Protein
10,34,1.22,M,maintain weight,High Protein
35,30,1.28,M,maintain weight,High Protein
14,34,1.23,M,lose weight,Low Calorie
38,57,1.67,M,lose weight,Low Calorie
10,38,1.28,M,maintain weight,High Protein
10,30,1.2,M,maintain weight,High Protein
10,33,1.23,M,gain weight,High Protein
36,35,1.33,M,maintain weight,Low Calorie
38,36,1.28,M,maintain weight,High Protein
40,68,1.68,M,lose weight,Low Calorie
31,34,1.25,M,lose weight,Low Calorie
26,76,1.8,M,lose weight,Low Calorie
34,39,1.3,M,maintain weight,Low Calorie
35,68,1.74,F,lose weight,Lose Weight
11,45,1.31,F,maintain weight,Maintain Weight
37,66,1.75,F,lose weight,Low Calorie
15,30,1.69,M,maintain weight,Maintain Weight
15,33,1.24,M,maintain weight,High Protein
29,37,1.23,F,lose weight,Lose Weight
10,39,1.27,M,gain weight,High Protein
32,36,1.2,F,lose weight,Low Calorie
12,30,1.2,M,maintain weight,Maintain Weight
16,30,1.24,M,maintain weight,High Protein
10,30,1.25,M,gain weight,Low Calorie
10,30,1.2,M,gain weight,High Protein
10,36,1.24,F,maintain weight,Low Calorie
44,44,1.83,M,gain weight,High Protein
32,82,1.71,M,lose weight,Maintain Weight
34,35,1.31,M,maintain weight,Low Calorie
32,44,1.31,F,lose weight,Low Calorie
31,34,1.23,F,lose weight,Lose Weight
16,30,1.33,M,lose weight,Low Calorie
14,31,1.25,M,gain weight,High Protein
26,31,1.28,F,lose weight,Maintain Weight
27,85,1.78,F,lose weight,Lose Weight
31,30,1.27,M,lose weight,Low Calorie
13,30,1.2,M,maintain weight,High Protein
35,40,1.3,M,lose weight,Low Calorie
36,63,1.7,M,maintain weight,Low Calorie
31,65,1.33,F,lose weight,Low Calorie
10,30,1.29,M,maintain weight,High Protein
15,30,1.23,F,maintain weight,Maintain Weight
30,62,1.88,F,lose weight,Low Calorie
39,61,1.77,M,maintain weight,Low Calorie
10,34,1.3,M,maintain weight,High Protein
32,38,1.36,M,gain weight,High Protein
26,74,1.72,M,lose weight,Low Calorie
35,30,1.49,M,gain weight,Low Calorie
15,33,1.35,M,maintain weight,Maintain Weight
13,40,1.2,M,lose weight,Low Calorie
10,30,1.29,M,gain weight,High Protein
40,79,1.89,M,lose weight,Low Calorie
10,31,1.2,M,lose weight,Maintain Weight
10,30,1.2,F,lose weight,Low Calorie
33,34,1.73,M,maintain weight,High Protein
10,30,1.27,M,gain weight,High Protein
24,63,1.22,F,lose weight,Lose Weight
10,31,1.26,M,gain weight,High Protein
37,38,1.27,M,maintain weight,Maintain Weight
10,34,1.24,M,maintain weight,Maintain Weight
10,30,1.2,M,gain weight,High Protein
15,30,1.26,F,lose weight,Low Calorie
10,30,1.34,F,lose weight,Lose Weight
10,30,1.2,M,maintain weight,Maintain Weight
10,30,1.27,F,lose weight,Lose Weight
32,71,1.74,M,lose weight,Low Calorie
10,35,1.28,F,lose weight,Lose Weight
34,70,1.55,M,lose weight,High Protein
33,63,1.27,M,gain weight,Low Calorie
33,75,1.86,M,maintain weight,Low Calorie
31,77,1.2,F,lose weight,Lose Weight
28,34,1.81,M,gain weight,High Protein
32,79,1.65,F,lose weight,Low Calorie
31,78,1.79,F,lose weight,High Protein
34,36,1.27,M,gain weight,Low Calorie
26,63,1.81,F,maintain weight,Low Calorie
35,78,1.8,M,lose weight,Low Calorie
27,73,1.89,F,lose weight,Low Calorie
25,59,1.89,F,lose weight,Low Calorie
12,37,1.38,F,lose weight,Lose Weight
13,30,1.21,M,maintain weight,Maintain Weight
35,35,1.33,M,lose weight,High Protein
11,30,1.27,M,maintain weight,Low Calorie
10,32,1.2,M,gain weight,High Protein
28,75,1.72,F,lose weight,Low Calorie
36,85,1.31,M,lose weight,High Protein
13,33,1.72,M,lose weight,Low Calorie
10,35,1.27,F,lose weight,Low Calorie
35,63,1.64,F,lose weight,Lose Weight
34,30,1.82,M,lose weight,Low Calorie
35,84,1.29,F,lose weight,Low Calorie
28,80,1.72,F,lose weight,Lose Weight
35,30,1.7,M,maintain weight,High Protein
42,68,1.71,M,lose weight,Low Calorie
10,35,1.25,M,gain weight,High Protein
10,35,1.34,M,gain weight,High Protein
16,30,1.24,M,maintain weight,Low Calorie
38,75,1.24,M,lose weight,Low Calorie
15,42,1.2,M,maintain weight,Low Calorie
35,42,1.22,M,maintain weight,Low Calorie
16,31,1.22,M,maintain weight,Low Calorie
10,72,1.82,F,lose weight,Low Calorie
32,58,1.69,M,gain weight,High Protein
33,43,1.78,M,maintain weight,Low Calorie
37,34,1.89,F,lose weight,Low Calorie
31,36,1.22,F,maintain weight,Maintain Weight
39,36,1.8,F,lose weight,Low Calorie
33,78,1.85,F,lose weight,Low Calorie
18,31,1.25,M,maintain weight,High Protein
27,74,1.29,M,gain weight,High Protein
10,31,1.21,M,maintain weight,High Protein
30,83,1.67,M,gain weight,High Protein
10,35,1.25,M,gain weight,High Protein
13,32,1.22,M,gain weight,Maintain Weight
10,35,1.25,F,maintain weight,Low Calorie
35,35,1.26,M,gain weight,High Protein
35,31,1.88,F,lose weight,Low Calorie
11,31,1.27,F,maintain weight,High Protein
33,38,1.81,F,lose weight,Low Calorie
34,39,1.76,M,maintain weight,Low Calorie
10,30,1.23,F,lose weight,Lose Weight
15,41,1.33,M,gain weight,High Protein
14,34,1.79,M,lose weight,Low Calorie
33,33,1.89,M,lose weight,Low Calorie
11,30,1.57,M,maintain weight,High Protein
32,66,1.73,F,lose weight,Lose Weight
10,35,1.31,M,gain weight,High Protein
10,30,1.29,F,lose weight,Low Calorie
10,42,1.22,M,maintain weight,Maintain Weight
35,88,1.79,M,lose weight,Low Calorie
35,81,1.49,M,maintain weight,Maintain Weight
10,69,1.26,M,maintain weight,Low Calorie
39,33,1.31,M,lose weight,Low Calorie
10,30,1.21,M,maintain weight,High Protein
10,41,1.22,F,lose weight,Lose Weight
15,35,1.2,M,lose weight,Low Calorie
27,33,1.83,F,lose weight,Low Calorie
10,36,1.2,M,maintain weight,High Protein
43,81,1.68,M,lose weight,Low Calorie
11,38,1.2,M,maintain weight,High Protein
33,36,1.36,M,maintain weight,Low Calorie
10,35,1.32,F,lose weight,High Protein
10,33,1.23,M,maintain weight,Low Calorie
40,85,1.72,F,lose weight,Low Calorie
15,75,1.22,M,lose weight,Low Calorie
44,89,1.89,F,lose weight,Low Calorie
28,34,1.82,F,lose weight,Low Calorie
38,30,1.89,M,gain weight,Low Calorie
25,35,1.26,F,lose weight,Lose Weight
15,37,1.24,M,lose weight,Low Calorie
14,30,1.23,M,gain weight,High Protein
40,33,1.69,M,lose weight,Low Calorie
36,32,1.29,M,gain weight,Low Calorie
14,34,1.21,M,maintain weight,Maintain Weight
10,30,1.22,F,lose weight,Lose Weight
35,36,1.82,M,maintain weight,Low Calorie
30,63,1.74,F,lose weight,Low Calorie
10,33,1.22,F,lose weight,Low Calorie
36,33,1.82,F,lose weight,Low Calorie
10,33,1.29,F,lose weight,Lose Weight
35,70,1.28,M,maintain weight,High Protein
10,40,1.24,M,maintain weight,High Protein
13,30,1.24,M,maintain weight,Maintain Weight
40,82,1.62,F,lose weight,Low Calorie
41,41,1.61,F,lose weight,Low Calorie
31,46,1.64,F,lose weight,Low Calorie
41,63,1.21,F,lose weight,Low Calorie
45,80,1.75,M,lose weight,Low Calorie
27,39,1.32,M,lose weight,Low Calorie
30,82,1.81,F,lose weight,Lose Weight
34,32,1.2,M,lose weight,High Protein
37,83,1.79,F,lose weight,Low Calorie
10,30,1.21,M,maintain weight,High Protein
10,30,1.2,M,gain weight,High Protein
14,30,1.25,M,gain weight,High Protein
19,71,1.21,M,maintain weight,Low Calorie
10,30,1.28,F,lose weight,Lose Weight
10,34,1.22,M,gain weight,High Protein
28,30,1.33,M,gain weight,High Protein
33,35,1.2,M,lose weight,High Protein
10,33,1.32,M,maintain weight,Low Calorie
29,39,1.59,F,lose weight,Lose Weight
35,36,1.22,F,lose weight,Low Calorie
10,30,1.21,M,lose weight,Low Calorie
12,42,1.24,M,maintain weight,Maintain Weight
31,54,1.64,F,lose weight,Lose Weight
36,41,1.62,M,maintain weight,High Protein
14,30,1.32,F,lose weight,Low Calorie
31,30,1.24,M,gain weight,High Protein
12,30,1.22,F,maintain weight,High Protein
33,36,1.37,M,lose weight,Low Calorie
30,35,1.2,M,gain weight,Low Calorie
10,30,1.2,F,lose weight,Lose Weight
30,37,1.27,M,gain weight,High Protein
10,30,1.25,M,maintain weight,High Protein
19,33,1.78,M,maintain weight,Low Calorie
29,71,1.31,M,gain weight,High Protein
40,34,1.37,F,lose weight,Low Calorie
34,30,1.27,M,gain weight,High Protein
37,79,1.56,F,lose weight,Low Calorie
13,36,1.25,M,maintain weight,High Protein
29,30,1.24,F,gain weight,High Protein
32,71,1.71,F,lose weight,Lose Weight
37,36,1.29,M,lose weight,High Protein
38,39,1.25,M,lose weight,High Protein
38,79,1.75,M,lose weight,Low Calorie
29,31,1.89,F,lose weight,Low Calorie
10,30,1.25,F,lose weight,Lose Weight
34,76,1.74,M,lose weight,Maintain Weight
11,31,1.2,M,maintain weight,Maintain Weight
10,30,1.35,M,gain weight,High Protein
23,32,1.6,F,lose weight,Lose Weight
34,93,1.34,M,maintain weight,Low Calorie
11,30,1.2,M,gain weight,High Protein
11,31,1.2,F,lose weight,Lose Weight
34,78,1.72,F,lose weight,Low Calorie
10,32,1.2,M,maintain weight,Maintain Weight
36,31,1.22,M,lose weight,Low Calorie
10,32,1.27,M,maintain weight,High Protein
32,73,1.25,M,lose weight,Low Calorie
34,30,1.84,M,gain weight,High Protein
10,34,1.35,M,lose weight,High Protein
22,30,1.2,F,lose weight,Low Calorie
36,87,1.83,F,lose weight,Low Calorie
37,43,1.29,M,gain weight,Low Calorie
14,42,1.24,M,gain weight,High Protein
10,37,1.23,M,gain weight,High Protein
11,30,1.2,M,maintain weight,High Protein
32,30,1.2,F,lose weight,Lose Weight
38,30,1.3,F,lose weight,Low Calorie
32,48,1.23,F,maintain weight,Maintain Weight
31,69,1.56,F,lose weight,Low Calorie
33,40,1.76,M,maintain weight,Low Calorie
12,34,1.21,M,gain weight,Maintain Weight
38,86,1.8,M,lose weight,Low Calorie
30,59,1.8,F,lose weight,Low Calorie
10,31,1.28,F,maintain weight,Low Calorie
30,90,1.77,F,lose weight,Low Calorie
34,30,1.25,M,maintain weight,Low Calorie
32,93,1.32,M,gain weight,Low Calorie
37,36,1.2,M,lose weight,Low Calorie
12,30,1.21,F,maintain weight,Low Calorie
33,30,1.21,F,lose weight,Low Calorie
40,60,1.84,M,lose weight,Low Calorie
11,41,1.31,M,gain weight,Low Calorie
10,30,1.29,F,lose weight,Low Calorie
15,38,1.2,M,maintain weight,Maintain Weight
26,67,1.6,F,lose weight,Lose Weight
34,39,1.22,F,maintain weight,High Protein
14,30,1.28,M,maintain weight,Low Calorie
15,47,1.22,M,maintain weight,Maintain Weight
14,32,1.27,M,gain weight,Low Calorie
34,36,1.74,M,lose weight,Low Calorie
31,70,1.82,F,lose weight,Low Calorie
10,30,1.28,M,maintain weight,High Protein
33,32,1.23,M,gain weight,High Protein
38,70,1.75,M,lose weight,Low Calorie
38,93,1.74,F,lose weight,Low Calorie
12,35,1.31,M,maintain weight,Low Calorie
22,33,1.22,F,lose weight,Lose Weight
33,62,1.89,M,lose weight,Low Calorie
31,69,1.72,F,lose weight,Lose Weight
30,60,1.73,F,lose weight,Lose Weight
17,31,1.26,M,maintain weight,Low Calorie
36,38,1.3,M,gain weight,Low Calorie
35,93,1.7,M,gain weight,Low Calorie
12,30,1.2,M,maintain weight,High Protein
36,30,1.26,M,gain weight,High Protein
42,69,1.82,M,lose weight,Low Calorie
25,60,1.73,F,lose weight,Lose Weight
38,87,1.68,F,lose weight,Low Calorie
35,83,1.65,F,lose weight,Low Calorie
10,42,1.27,M,gain weight,High Protein
24,67,1.23,F,lose weight,Lose Weight
30,41,1.27,M,gain weight,High Protein
10,30,1.26,F,lose weight,Lose Weight
30,65,1.69,F,lose weight,Low Calorie
36,77,1.64,M,lose weight,Low Calorie
31,31,1.27,F,lose weight,Lose Weight
38,72,1.76,M,lose weight,Low Calorie
43,81,1.21,M,gain weight,Low Calorie
29,35,1.35,M,gain weight,High Protein
32,58,1.65,F,maintain weight,Lose Weight
11,46,1.22,M,maintain weight,Maintain Weight
32,39,1.27,F,lose weight,Lose Weight
29,80,1.56,F,lose weight,Low Calorie
29,30,1.37,M,lose weight,Low Calorie
30,73,1.85,M,gain weight,High Protein
10,31,1.2,M,maintain weight,Maintain Weight
12,35,1.23,M,lose weight,Low Calorie
40,35,1.26,M,maintain weight,High Protein
31,36,1.78,F,lose weight,Maintain Weight
32,76,1.29,M,lose weight,Low Calorie
29,31,1.27,M,gain weight,High Protein
29,36,1.59,F,lose weight,Lose Weight
10,32,1.2,M,lose weight,Lose Weight
33,81,1.2,M,maintain weight,Maintain Weight
43,85,1.75,M,lose weight,Low Calorie
10,30,1.22,M,lose weight,Low Calorie
10,30,1.29,F,lose weight,Low Calorie
13,32,1.26,M,gain weight,High Protein
39,50,1.73,F,lose weight,Low Calorie
34,50,1.21,F,lose weight,Lose Weight
11,30,1.2,M,maintain weight,Maintain Weight
36,74,1.57,F,lose weight,Low Calorie
34,60,1.67,M,lose weight,Low Calorie
18,38,1.84,M,gain weight,Low Calorie
46,78,1.76,M,lose weight,Low Calorie
26,39,1.74,M,gain weight,High Protein
10,40,1.31,M,gain weight,High Protein
29,40,1.89,F,lose weight,Low Calorie
43,88,1.3,M,lose weight,Low Calorie
34,85,1.33,M,lose weight,High Protein
15,30,1.2,M,maintain weight,High Protein
10,30,1.2,M,gain weight,High Protein
31,30,1.27,M,gain weight,High Protein
32,33,1.49,M,gain weight,High Protein
37,93,1.62,F,lose weight,Low Calorie
39,93,1.8,M,maintain weight,Maintain Weight
30,39,1.83,M,lose weight,Low Calorie
10,40,1.27,M,lose weight,Low Calorie
39,77,1.83,M,lose weight,Low Calorie
31,78,1.89,F,lose weight,Low Calorie
14,30,1.2,M,gain weight,High Protein
40,39,1.73,M,maintain weight,High Protein
10,32,1.37,M,gain weight,High Protein
10,32,1.24,F,lose weight,Lose Weight
35,82,1.73,F,lose weight,Low Calorie
10,30,1.32,M,gain weight,High Protein
10,30,1.23,F,lose weight,Low Calorie
12,30,1.27,M,gain weight,High Protein
10,32,1.28,F,lose weight,Low Calorie
32,33,1.29,M,maintain weight,High Protein
10,30,1.22,M,lose weight,Low Calorie
11,36,1.2,M,gain weight,High Protein
10,30,1.2,F,lose weight,Lose Weight
17,30,1.28,F,maintain weight,Low Calorie
43,42,1.27,M,lose weight,Low Calorie
32,79,1.29,M,lose weight,Low Calorie
35,67,1.71,M,lose weight,Low Calorie
11,34,1.28,M,lose weight,Low Calorie
39,42,1.75,M,lose weight,Low Calorie
12,30,1.21,M,maintain weight,Maintain Weight
35,41,1.76,F,lose weight,Low Calorie
40,61,1.73,M,lose weight,Low Calorie
10,31,1.27,F,maintain weight,Maintain Weight
28,31,1.3,M,gain weight,High Protein
10,39,1.22,F,maintain weight,Maintain Weight
33,35,1.8,F,lose weight,Low Calorie
35,34,1.23,M,gain weight,High Protein
10,30,1.23,F,lose weight,Lose Weight
37,61,1.77,M,maintain weight,High Protein
31,63,1.73,F,lose weight,Lose Weight
28,30,1.25,M,lose weight,Low Calorie
16,30,1.33,M,lose weight,Low Calorie
14,35,1.2,M,gain weight,Low Calorie
34,44,1.36,M,gain weight,High Protein
33,72,1.68,F,lose weight,Low Calorie
31,36,1.29,F,maintain weight,Low Calorie
27,37,1.27,F,lose weight,Lose Weight
10,30,1.29,M,maintain weight,Low Calorie
12,38,1.21,M,maintain weight,High Protein
15,30,1.28,M,gain weight,Maintain Weight
29,43,1.31,F,lose weight,Low Calorie
12,30,1.63,F,lose weight,Low Calorie
28,39,1.65,M,maintain weight,Maintain Weight
15,32,1.21,M,maintain weight,Low Calorie
34,67,1.79,M,lose weight,Low Calorie
10,32,1.2,M,gain weight,High Protein
31,79,1.78,M,lose weight,Low Calorie
10,38,1.22,F,lose weight,Low Calorie
16,30,1.34,M,gain weight,High Protein
10,68,1.31,F,lose weight,Low Calorie
36,73,1.23,M,lose weight,Low Calorie
10,30,1.24,F,lose weight,Lose Weight
35,30,1.61,M,maintain weight,Low Calorie
39,79,1.83,F,lose weight,Low Calorie
11,30,1.34,M,maintain weight,Maintain Weight
10,37,1.4,M,gain weight,High Protein
31,34,1.34,M,lose weight,Low Calorie
44,73,1.66,M,lose weight,Low Calorie
27,73,1.81,F,lose weight,Low Calorie
10,43,1.22,M,maintain weight,Low Calorie
10,30,1.2,M,maintain weight,High Protein
37,62,1.68,M,lose weight,Low Calorie
10,30,1.26,F,lose weight,Low Calorie
30,33,1.3,F,lose weight,Low Calorie
37,72,1.81,F,lose weight,Low Calorie
10,33,1.28,M,lose weight,High Protein
10,30,1.22,M,maintain weight,High Protein
34,87,1.31,M,gain weight,High Protein
36,30,1.32,F,lose weight,Low Calorie
18,32,1.25,M,lose weight,Low Calorie
10,31,1.34,M,lose weight,Lose Weight
38,93,1.88,M,lose weight,Low Calorie
44,76,1.81,M,gain weight,Low Calorie
14,30,1.2,M,maintain weight,Maintain Weight
10,30,1.21,M,gain weight,High Protein
14,35,1.25,M,maintain weight,Low Calorie
10,47,1.29,M,gain weight,High Protein
25,33,1.89,F,maintain weight,Low Calorie
10,37,1.28,M,maintain weight,Maintain Weight
36,32,1.29,M,maintain weight,Low Calorie
31,79,1.27,M,maintain weight,High Protein
24,55,1.6,F,lose weight,Low Calorie
43,34,1.41,F,lose weight,Low Calorie
31,66,1.3,F,lose weight,Low Calorie
25,58,1.54,F,lose weight,Low Calorie
10,30,1.21,M,lose weight,Lose Weight
33,35,1.3,F,lose weight,Low Calorie
31,76,1.78,F,lose weight,Low Calorie
34,44,1.27,M,maintain weight,Low Calorie
14,30,1.27,M,gain weight,High Protein
19,34,1.28,M,lose weight,Low Calorie
31,32,1.59,M,gain weight,High Protein
10,30,1.23,F,lose weight,Lose Weight
15,34,1.24,M,lose weight,Low Calorie
14,35,1.35,M,maintain weight,Low Calorie
10,30,1.2,M,gain weight,High Protein
34,40,1.67,M,lose weight,Low Calorie
35,54,1.86,M,lose weight,Low Calorie
15,56,1.24,M,lose weight,Low Calorie
33,55,1.7,M,lose weight,Low Calorie
10,35,1.26,F,lose weight,Lose Weight
10,32,1.22,M,maintain weight,High Protein
35,67,1.77,F,lose weight,Low Calorie
10,33,1.2,M,lose weight,Low Calorie
10,30,1.2,M,maintain weight,Maintain Weight
39,78,1.31,M,lose weight,Low Calorie
11,30,1.24,F,lose weight,Low Calorie
35,38,1.76,F,gain weight,High Protein
39,83,1.69,F,lose weight,Low Calorie
40,35,1.33,F,maintain weight,Low Calorie
34,55,1.52,M,lose weight,Low Calorie
29,42,1.33,M,gain weight,High Protein
10,31,1.26,M,maintain weight,Low Calorie
10,33,1.23,M,maintain weight,Maintain Weight
10,33,1.2,M,lose weight,Low Calorie
28,36,1.24,M,lose weight,Low Calorie
14,33,1.33,M,gain weight,High Protein
15,64,1.3,M,maintain weight,High Protein
10,30,1.25,F,lose weight,Maintain Weight
10,39,1.23,M,gain weight,High Protein
10,37,1.2,M,maintain weight,Low Calorie
10,74,1.26,F,lose weight,Lose Weight
42,82,1.7,M,lose weight,Low Calorie
40,83,1.84,M,lose weight,Low Calorie
31,78,1.55,F,lose weight,Low Calorie
10,30,1.22,F,lose weight,Lose Weight
32,30,1.2,M,gain weight,High Protein
39,66,1.65,M,lose weight,Low Calorie
10,33,1.25,M,gain weight,High Protein
